vehicle_name,stock_number,status,location,fuel_type,sleeps,length,sales_price (USD),horse_power
2019 THOR GEMINI 24TF,2203935,Used,"Colton, CA",,4,25 ft 0 in,112999,N/A
2021 FOREST RIVER FORESTER MBS 2401B,2206224,Used,"Camping World of Buford - Buford, GA",,6,25 ft 5 in,112999,N/A
2016 FOREST RIVER FORESTER MBS 2401W,2190751,Used,"Las Vegas, NV",,5,24 ft 11 in,114999,N/A
2017 AIRSTREAM INTERSTATE EXT GRAND TOUR,2202933,Used,"Anniston, AL",,1,24 ft 5 in,114999,N/A
2017 WINNEBAGO NAVION 24G,2206311,Used,"Colfax, NC",,4,25 ft 5 in,114999,N/A
2019 THOR SYNERGY 24MB,2206828P,Used,"Churchville, NY",,5,25 ft 10 in,114999,N/A
2019 ENTEGRA COACH QWEST 24L,1000632P,Used,"New Braunfels, TX",,5,25 ft 2 in,113999,N/A
2019 DYNAMAX ISATA 3 24FW,2178862,Used,"Council Bluffs, IA",,4,24 ft 7 in,113999,N/A
2020 WINNEBAGO VITA 24P,2183938,Used,"Alvarado, TX",,5,24 ft 7 in,113999,N/A
2015 WINNEBAGO FORZA 34T,2205486,Used,"RVs.com Showroom Nashville - Nashville, TN",,7,35 ft 0 in,114999,N/A
2006 COUNTRY COACH MAGNA REMBRANDT 600,2071020,Used,"Oklahoma City, OK",,6,0 ft 0 in,115499,N/A
2020 WINNEBAGO ERA 170B,2086499,Used,"Fort Pierce, FL",,2,24 ft 3 in,115499,N/A
2015 FLEETWOOD EXCURSION 33D,2181843,Used,"Chichester, NH",,5,35 ft 0 in,115899,N/A
2018 WINNEBAGO NAVION 24D,2165585,Used,"Windham, ME",,5,25 ft 7 in,116999,N/A
2019 ENTEGRA COACH QWEST 24L,2177115,Used,"Mesa, AZ",,5,25 ft 2 in,116999,N/A
2018 WINNEBAGO VIEW 24D,2206262P,Used,"Albuquerque, NM",,4,25 ft 7 in,116999,N/A
2019 WINNEBAGO ERA 70B,2133483,Used,"Lubbock, TX",,1,24 ft 3 in,115999,N/A
2019 DYNAMAX ISATA 3 24FW,2193658,Used,"Summerfield, FL",,4,24 ft 7 in,117999,N/A
2018 THOR SYNERGY TT24,2205596,Used,"Kenosha, WI",,4,26 ft 0 in,116999,N/A
2018 DYNAMAX ISATA 3 24RW,2206313,Used,"Dover, FL",,4,24 ft 7 in,118699,N/A
2019 ENTEGRA COACH QWEST 24A,2181857,Used,"Eau Claire, WI",,5,25 ft 2 in,117999,N/A
2016 AIRSTREAM INTERSTATE GRAND TOUR EXT,2141605,Used,"Airstream of Virginia - Ashland, VA",,2,24 ft 4 in,118499,N/A
2018 AIRSTREAM INTERSTATE GRAND TOUR EXT,2155078,Used,"Airstream of Virginia - Ashland, VA",,2,24 ft 5 in,119999,N/A
2021 JAYCO MELBOURNE 24T,2195147,Used,"Braidwood, IL",,3,25 ft 2 in,119999,N/A
2021 JAYCO MELBOURNE 24L,2199257,Used,"Owatonna, MN",,4,25 ft 2 in,119999,N/A
2017 AIRSTREAM INTERSTATE EXT LOUNGE,2206997,Used,"Robertsdale, AL",,1,24 ft 5 in,119999,N/A
2015 THOR CHATEAU 33SW,3000212P,Used,"Georgetown, KY",,7,35 ft 0 in,119999,N/A
2019 JAYCO MELBOURNE PRESTIGE 24AP,2105662A,Used,"Vacaville, CA",,6,25 ft 2 in,118999,N/A
2016 AIRSTREAM INTERSTATE GRAND TOUR EXT,2148513,Used,"Airstream of Virginia - Ashland, VA",,4,24 ft 4 in,118999,N/A
2008 ITASCA HORIZON 40TD,2182119,Used,"Poteau, OK",,3,40 ft 0 in,118999,N/A
2020 WINNEBAGO VITA 24P,1536WRP,Used,"RVs.com Showroom Wheat Ridge - Wheat Ridge, CO",,5,24 ft 7 in,121498,N/A
2015 AIRSTREAM INTERSTATE LOUNGE EXT,2208448,Used,"St. Augustine, FL",,1,24 ft 1 in,120999,N/A
